RA,DEC,P(S),Fpeak,Fin,RMS,Maj,Min,PA,Maj,Min,PA,Field
13 8 11.9,64 30 38.08,0.014,10.16,15.67,0.128,4.91,2.97,122.2,7.3,6.16,122.2,13090+64240M
9 42 14.214,64 30 37.29,0.014,2.71,2.37,0.156,0,0,174.9,5.25,4.86,174.9,09420+64243J
11 56 0.858,64 30 37.22,0.052,1.39,0.88,0.135,0,0,162.8,4.71,3.89,162.8,11570+64240M
7 14 44.084,64 30 36.75,0.014,2.6,2.85,0.146,2.9,0,37.4,6.13,5.23,37.4,07120+64243J
9 0 32.519,64 30 34.19,0.027,1.18,1.55,0.15,5.43,0,42.8,7.66,4.98,42.8,09000+64243J
11 16 56.111,64 30 34.14,0.014,25.02,25.37,0.133,1.19,0,26.8,5.53,5.35,26.8,11180+64240M
14 34 37.538,64 30 33.5,0.014,2.13,3.14,0.132,5.3,1.71,20.2,7.57,5.66,20.2,14360+64240M
7 44 38.292,64 30 29.91,0.014,3.54,4.05,0.141,2.53,1.47,104.9,5.96,5.6,104.9,07420+64243J
13 2 31.786,64 30 28.07,0.014,1.88,2.47,0.127,4.28,1.27,61.5,6.89,5.55,61.5,13030+64240M
14 44 38.078,64 30 27.11,0.014,142.84,146.58,0.128,1.16,0.44,49.2,5.52,5.42,49.2,14450+64240R
7 14 5.862,64 30 26.49,0.014,6.12,16.99,0.148,10.76,4.01,26.1,12.03,6.73,26.1,07120+64243J
16 47 55.873,64 30 25.09,0.016,1.68,1.57,0.133,2.94,0,19,6.15,4.45,19,16480+64240M
7 42 19.668,64 30 24.5,0.014,1.36,1.18,0.14,0,0,89.8,5.17,4.91,89.8,07420+64243J
7 1 41.812,64 30 24.06,0.296,1.14,0.86,0.145,1.98,0,178.3,5.75,3.81,178.3,07000+64243J
